genre_id,genre_name,title,adult,budget,id,imdb_id,original_language,original_title,overview,popularity,poster_path,release_date,revenue,runtime,status,tagline,video,vote_average,vote_count,certification,production_names,production_ids,keyword_id,keyword_name,simple_title,simpleTitleBook,num_months_wait,R,family,based_novel,non_fiction,both,drama,history,crime,horror,mystery,thriller,action,adventure,war,animation,comedy,romance,fantasy,science fiction,western,documentary,music,adventure_fantasy,adventure_fantasy_family
14,Fantasy,Beauty and the Beast,FALSE,0,30844,tt1410295,en,Beauty and the Beast,"A twist on the morality tale of forbidden love between the beautiful Belle and the feared Beast. As the villagers are being brutally murdered and the Beast is hunted down as the one responsible for the mayhem, Belle and Beast team up to defeat the real killer; the power-hungry witch's malevolent troll.",3.133016,/7r1k7c01E14p0HIHQOkAFEwr9l8.jpg,2009-11-04,0,90,Released,NA,FALSE,4.9,27,R,", goldrush entertainment, limelight productions",", 53169, 2936","616, 1938, 5774","witch, sword, forest",beauty and the beast,beauty and the beast,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"35, 18, 10751","Comedy, Drama, Family",Because of Winn-Dixie,FALSE,14000000,17880,tt0317132,en,Because of Winn-Dixie,"A girl, abandoned by her mother when she was three, moves to a small town in Florida with her father. There, she adopts an orphaned dog she names Winn-Dixie. The bond between the girl and her special companion brings together the people in a small Florida town and heals her own troubled relationship with her father.",4.652439,/oMUFS7HmIyTeui5xuoIEkPYTWC8.jpg,2005-02-18,32645546,106,Released,Discover what happens when you go looking for a miracle and a miracle comes looking for you.,FALSE,6.1,79,PG,", 20th century fox",", 25",NA,NA,because of winn-dixie,because of winn-dixie,4,FALSE,TRUE,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"35, 80","Comedy, Crime",Be Cool,FALSE,53000000,4551,tt0377471,en,Be Cool,"Disenchanted with the movie industry, Chili Palmer tries the music industry, meeting and romancing a widow of a music exec on the way.",8.625553,/ekKCH7Zkb5ZTr1f1AczZY23FH.jpg,2005-03-04,95226116,118,Released,Everyone is looking for the next big hit,FALSE,5.3,368,PG-13,", double feature films, jersey films, nina saxon film design, metro-goldwyn-mayer",", 215, 216, 1693, 21","3605, 4129, 4741, 5718, 8045, 10572, 10712, 163949","baseball bat, widow, recording contract, recording studio, russian mafia, music business, night club, pawnshop",be cool,be cool,44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"80, 28, 53","Crime, Action, Thriller",Blitz,FALSE,15774948,55846,tt1297919,en,Blitz,"A tough, renegade cop is dispatched to take down a serial killer who has been targeting police officers.",9.305901,/woY0qY4DR6bPOQ7cBwyblePsYky.jpg,2011-05-20,741875,97,Released,It's cop-killer versus killer-cop.,FALSE,5.9,598,R,", lipsync productions, lionsgate, davis-films, current entertainment, kushner/wyman productions, blitz films",", 9987, 1632, 342, 972, 25629, 25628","818, 15167","based on novel, police detective",blitz,blitz,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"28, 53","Action, Thriller",Blood Father,FALSE,13000000,309886,tt3647498,en,Blood Father,An ex-con reunites with his estranged wayward 16-year old daughter to protect her from drug dealers who are trying to kill her.,8.970798,/rQ3CKv33u2Z4keC2AYZqi3RGIdX.jpg,2016-08-11,0,88,Released,They left him no choice..,FALSE,6.2,639,R,", wild bunch, why not productions",", 856, 729","970, 2231, 10183, 18187, 156121","parent child relationship, drug dealer, independent film, family reunion, ex-con",blood father,blood father,7,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"53, 80, 18","Thriller, Crime, Drama",Blood Ties,FALSE,25500000,190955,tt1747958,en,Blood Ties,"Two brothers, on either side of the law, face off over organized crime in Brooklyn during the 1970s.",7.265402,/b92dNX0BYxGAroKuR98I2qn9vwy.jpg,2013-08-22,2415472,128,Released,Crime runs in the family.,FALSE,6,218,R,", chi-fou-mi productions, wild bunch, lgm productions, les productions du trésor, mars distribution, worldview entertainment, ciné+, m6, caneo films, grisbi productions, france 4, w9, treasure company, canal+, france 3 cinéma, france télévision",", 34780, 856, 2490, 2612, 2908, 9015, 10611, 11261, 19690, 32242, 33928, 34774, 34782, 104, 591, 7131","3070, 14643, 162861, 187301, 192913, 209482","mercenary, battle, ancient greece, hercules, warrior, sagen",blood ties,blood ties,14,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"28, 18, 53","Action, Drama, Thriller",Body of Lies,FALSE,70000000,12113,tt0758774,en,Body of Lies,"The CIA’s hunt is on for the mastermind of a wave of terrorist attacks. Roger Ferris is the agency’s man on the ground, moving from place to place, scrambling to stay ahead of ever-shifting events. An eye in the sky – a satellite link – watches Ferris.  At the other end of that real-time link is the CIA’s Ed Hoffman, strategizing events from thousands of miles away. And as Ferris nears the target, he discovers trust can be just as dangerous as it is necessary for survival.",19.266039,/ngQAEKZVpT0SD9i98ApEgsQKC52.jpg,2008-10-10,113280098,128,Released,Trust no one. Deceive everyone.,FALSE,6.5,1160,R,", scott free productions, de line pictures, warner bros. pictures",", 1645, 2609, 174","321, 470, 736, 769, 818, 3737, 6292, 9145, 9846, 9849, 13015, 15017, 221192","terror, spy, journalist, falsely accused, based on novel, dying and death, jordan, dubai, intelligence agency, beating, terrorism, danger, secrecy",body of lies,body of lies,22,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"18, 35","Drama, Comedy",Breakfast on Pluto,FALSE,0,1420,tt0411195,en,Breakfast on Pluto,"In the 1970s, a foundling lad, Patrick ""Kitten"" Braden, comes of age by leaving his Irish town for London, in part to look for his mother and in part because his trans-gender nature is beyond the town's understanding.",6.871471,/14tmdb1PiLNDZf3VD29S2nUKVV0.jpg,2005-09-03,0,128,Released,Same world. Different planet.,FALSE,7,103,R,", pathé pictures international, bórd scannán na héireann, northern ireland screen",", 1178, 1898, 11667","108, 212, 237, 571, 640, 697, 1228, 1970s, 1499, 10180, 13149, 14985, 158718","transvestism, london england, gay, transsexuality, transvestite, loss of loved one, pastor, homosexuality, pregnancy, ireland, lgbt",breakfast on pluto,breakfast on pluto,4,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,Drama,Broken,FALSE,0,109584,tt1441940,en,Broken,Three suburban English families' lives intertwine with tragic consequences.,6.786641,/k956gA7llq8KeAJOHW8Y3ecu4NK.jpg,2012-08-22,0,91,Released,NA,FALSE,6.6,107,R,", cuba pictures, bbc films, bill kenwright films",", 50082, 288, 7058",NA,NA,broken,broken,23,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"28, 80, 53","Action, Crime, Thriller",Bullet to the Head,FALSE,55000000,70074,tt1308729,en,Bullet to the Head,"After watching their respective partners die, a cop and a hitman form an alliance in order to bring down their common enemy.",7.793448,/in6KZhkj6UCpXhjVm00VzdisHyf.jpg,2013-01-31,9489829,92,Released,Revenge Never Gets Old.,FALSE,5.3,562,R,", dark castle entertainment, after dark films, im global, automatik entertainment, silver reel, emjag productions, millar gough ink, headshot films",", 1786, 3608, 7437, 7625, 12075, 14654, 20356, 25876",NA,NA,bullet to the head,bullet to the head,3,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
