genre_id,genre_name,title,adult,budget,id,imdb_id,original_language,original_title,overview,popularity,poster_path,release_date,revenue,runtime,status,tagline,video,vote_average,vote_count,certification,production_names,production_ids,keyword_id,keyword_name,simple_title,simpleTitleBook,num_months_wait,R,family,based_novel,non_fiction,both,drama,history,crime,horror,mystery,thriller,action,adventure,war,animation,comedy,romance,fantasy,science fiction,western,documentary,music,adventure_fantasy,adventure_fantasy_family
"18, 27","Drama, Horror",Carrie,FALSE,30000000,133805,tt1939659,en,Carrie,"A reimagining of the classic horror tale about Carrie White, a shy girl outcast by her peers and sheltered by her deeply religious mother, who unleashes telekinetic terror on her small town after being pushed too far at her senior prom.",24.84585,/j0999NYddCGcishJlxluDRQIn6k.jpg,2013-10-16,82394288,100,Released,Know her name. Fear her power.,FALSE,5.8,1965,R,", misher films, screen gems, metro-goldwyn-mayer",", 11581, 3287, 21","321, 818, 3720, 5086, 6270, 9714, 9748, 9826, 9864, 10266, 13130, 14601, 14819, 14989, 33740, 187056","terror, based on novel, power, telekinesis, high school, remake, revenge, murder, prank, prom, teenager, explosion, violence, religious, humiliation, woman director",carrie,carrie,2,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"12, 28, 53","Adventure, Action, Thriller",Casino Royale,FALSE,150000000,36557,tt0381061,en,Casino Royale,"Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond – on his maiden mission as a 00 Agent – to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.",35.958246,/zlWBxz2pTA9p45kUTrI8AQiKrHm.jpg,2006-11-14,599045960,144,Released,Everyone has a past. Every legend has a beginning.,FALSE,7.3,4793,PG-13,", babelsberg film, eon productions, stillking films",", 19481, 7576, 11345","131, 383, 585, 949, 3515, 10594, 10609, 13006, 156095, 206125","italy, poker, casino, terrorist, banker, money, free running, torture, british secret service, montenegro",casino royale,casino royale,49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"27, 878, 53","Horror, Science Fiction, Thriller",Cell,FALSE,0,168098,tt0775440,en,Cell,"When a strange signal pulsates through all cell phone networks worldwide, it starts a murderous epidemic of epic proportions when users become bloodthirsty creatures, and a group of people in New England are among the survivors to deal with the ensuing chaos after.",8.852923,/c5N6Pw3P6TqQnGcqiVkhO9u85KB.jpg,2016-07-06,1133031,98,Released,When everyone is connected no one is safe.,FALSE,4.4,443,R,", cargo entertainment, 120db films, benaroya pictures, the genre co., international film trust",", 34380, 5113, 6692, 18950, 78555","236, 818, 822, 1680, 9826, 10339, 14819, 15156, 177317, 188957","suicide, based on novel, airport, boston, murder, drive-in theatre, violence, cell phone, ice cream truck, virus",cell,cell,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"10402, 12, 35, 10751, 14","Music, Adventure, Comedy, Family, Fantasy",Charlie and the Chocolate Factory,FALSE,150000000,118,tt0367594,en,Charlie and the Chocolate Factory,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",25.846374,/dvHl1dYvaZRhj9Gk0ITcCHr4DIJ.jpg,2005-07-13,474968763,115,Released,Willy Wonka is semi-sweet and nuts.,FALSE,6.8,5535,PG,", village roadshow pictures, the zanuck company, tim burton productions, theobald film productions, warner bros. pictures, plan b entertainment",", 79, 80, 8601, 55512, 174, 81","212, 715, 730, 818, 970, 985, 987, 1158, 10508","london england, chocolate, factory worker, based on novel, parent child relationship, candy, overweight child, grandparent grandchild relationship, teacher",charlie and the chocolate factory,charlie and the chocolate factory,7,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"80, 53","Crime, Thriller",Child 44,FALSE,50000000,181283,tt1014763,en,Child 44,"Set in Stalin-era Soviet Union, a disgraced MGB agent is dispatched to investigate a series of child murders -- a case that begins to connect with the very top of party leadership.",14.128612,/nzXwfnBcsmREzHlem6fkStN1RUH.jpg,2015-03-15,3324330,137,Released,How do you find a killer who doesn’t exist?,FALSE,6.1,710,R,", summit entertainment, scott free productions, worldview entertainment",", 491, 1645, 9015","818, 2111, 2808, 9826, 10714, 162365, 166109, 191543, 208611, 1950s","based on novel, soviet union, russian, murder, serial killer, military, child murder, stalinism",child 44,child 44,21,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"18, 28, 53, 878","Drama, Action, Thriller, Science Fiction",Children of Men,FALSE,76000000,9693,tt0206634,en,Children of Men,"In 2027, in a chaotic world in which humans can no longer procreate, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea, where her child's birth may help scientists save the future of humankind.",22.727244,/gZ6i32Da76EUxta06GL2BxpC4Cn.jpg,2006-09-22,69959751,109,Released,The future's a thing of the past.,FALSE,7.5,2634,R,", universal pictures, strike entertainment, hit & run productions",", 33, 655, 11429","318, 458, 526, 2618, 2964, 4565, 4630, 4995, 5885, 6150, 10349, 17985, 34117, 41589","police state, hippie, rebel, miracle, future, dystopia, chaos, aging, childlessness, faith, survival, birth, cult film, dying",children of men,the children of men,22,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"18, 53","Drama, Thriller",Cold in July,FALSE,0,244509,tt1179031,en,Cold in July,"How can a split-second decision change your life? While investigating noises in his house one balmy Texas night in 1989, Richard Dane puts a bullet in the brain of low-life burglar Freddy Russell. Although he’s hailed as a small-town hero, Dane soon finds himself fearing for his family’s safety when Freddy’s ex-con father, Ben, rolls into town, hell-bent on revenge.",7.070758,/zotsAuntzSFECpDWfkIWePcIJOq.jpg,2014-05-23,427418,109,Released,How many men can one bullet kill?,FALSE,6.4,318,R,", bullet pictures, backup media, paradise city, bsm studio",", 36956, 26590, 28360, 28361","818, 1227, 2801, 4382, 9748, 9826, 14903, 208127","based on novel, cemetery, self-defense, flashlight, revenge, murder, home invasion, intruder",cold in july,cold in july,5,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"28, 878, 53, 37","Action, Science Fiction, Thriller, Western",Cowboys & Aliens,FALSE,163000000,49849,tt0409847,en,Cowboys & Aliens,"A stranger stumbles into the desert town of Absolution with no memory of his past and a futuristic shackle around his wrist. With the help of mysterious beauty Ella and the iron-fisted Colonel Dolarhyde, he finds himself leading an unlikely posse of cowboys, outlaws, and Apache warriors against a common enemy from beyond this world in an epic showdown for survival.",23.468658,/tXEHvxU315Yu7bEaMMRcpDpW6RI.jpg,2011-07-29,174822325,119,Released,First Contact. Last Stand.,FALSE,5.4,2504,PG-13,", universal pictures, reliance entertainment, relativity media, imagine entertainment, k/o paper products, fairview entertainment, platinum studios, k/o camera toys, dreamworks",", 33, 7294, 7295, 23, 7296, 7297, 7218, 23300, 7","642, 798, 1859, 3290, 9503, 9738, 9831, 9951, 10322, 10685, 12371","robbery, sheriff, arizona, laser, outlaw, ufo, spaceship, alien, native american, escape, gunfight",cowboys & aliens,cowboys & aliens,29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"18, 9648, 53","Drama, Mystery, Thriller",Cracks,FALSE,0,35052,tt1183665,en,Cracks,Jealousy flares after the headmistress of an elite boarding school for girls becomes obsessed with a new student.,7.032901,/2zpNd8qPT9HyQMUT1uVwyXhmMjM.jpg,2009-12-04,0,104,Released,Innocence isn't lost. It's taken.,FALSE,6.6,153,R,", future films, antena 3 films, element pictures",", 10843, 6538, 3353","392, 818, 3030, 5136, 9826, 9833, 9937, 10180, 10508, 10873, 11696, 12105, 18396, 41329, 47020, 155697, 156948, 187056","england, based on novel, nightmare, uniform, murder, lesbian relationship, suspense, homosexuality, teacher, school, underage drinking, student, catholic, mental illness, storytelling, aristocrat, missing child, woman director",cracks,cracks,13,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"18, 10749, 10752","Drama, Romance, War",Dear John,FALSE,25000000,22971,tt0989757,en,Dear John,Sergeant John Tyree is home on a 2 week leave from Germany. He meets Savannah after he dives into the ocean to retrieve Savannah's purse that had fallen off the pier. John falls in love with Savannah who is a student on spring break helping build a house for Habitat for Humanity. A romance occurs and Savannah falls deeply in love with John. She promises to write John overseas until he returns.,14.326006,/2Fen9XsCscjupGJUhi2zaCvOaGd.jpg,2010-02-04,114977104,115,Released,Love brought them together. Will fate tear them apart?,FALSE,6.6,1778,PG-13,", screen gems",", 3287","818, 6092, 9673, 33564","based on novel, army, love, u.s. soldier",dear john,dear john,94,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"28, 80, 18, 53","Action, Crime, Drama, Thriller",Death Sentence,FALSE,20000000,11835,tt0804461,en,Death Sentence,"Nick Hume is a mild-mannered executive with a perfect life, until one gruesome night he witnesses something that changes him forever. Transformed by grief, Hume eventually comes to the disturbing conclusion that no length is too great when protecting his family.",9.308439,/yaf4WwHOAghlGQeC9qovOarLo27.jpg,2007-08-31,16974459,105,Released,Protect what's yours.,FALSE,6.3,390,R,", dune entertainment, baldwin entertainment group, hyde park entertainment, brass hat films, 20th century fox",", 444, 2234, 13816, 13817, 25","697, 1522, 9748, 9826, 10726, 11522, 11612, 14687, 15108, 160488, 160543","loss of loved one, repayment, revenge, murder, gang, police officer killed, hospital, extreme violence, justice, hoodlum, semiautomatic pistol",death sentence,death sentence,33,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"18, 53","Drama, Thriller",Derailed,FALSE,22000000,8999,tt0398017,en,Derailed,"When two married business executives having an affair are blackmailed by a violent criminal, they are forced to turn the tables on him to save their families.",7.731741,/fWZK40LvrjJ2w7IBuuadJMdHgVK.jpg,2005-11-11,57479076,108,Released,He never saw it coming.,FALSE,6.1,399,R,", di bonaventura pictures, miramax films, patalex v productions limited",", 435, 14, 23635","378, 520, 570, 818, 922, 1157, 1596, 1936, 2783, 3344, 4480, 5625, 7169, 9748, 9758, 9849, 14819, 15210, 34094, 163072, 168750, 187844, 208591, 226778","prison, chicago, rape, based on novel, hotel room, wife husband relationship, anonymous letter, blackmail, family's daily life, letter, business man, relationship problems, man between two women, revenge, deception, beating, violence, wallet, extramarital affair, embezzlement, advertising executive, flashback, abortion, commuter train",derailed,derailed,41,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"35, 10751","Comedy, Family",Diary of a Wimpy Kid: Dog Days,FALSE,10000000,82650,tt2023453,en,Diary of a Wimpy Kid: Dog Days,"School is out and Greg is ready for the days of summer, when all his plans go wrong. What on earth is he going to do all summer?",9.808165,/6u3rWg02AfbmAm4zPOapmOjUJEz.jpg,2012-08-02,0,94,Released,School's Out for the summer,FALSE,6,296,PG,", fox 2000 pictures",", 711","12392, 13088, 15101, 177804, 179431, 225840","best friend, summer, based on children's book, sweet sixteen, duringcreditsstinger, pool party",diary of a wimpy kid: dog days,dog days,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"28, 12, 878","Action, Adventure, Science Fiction",Divergent,FALSE,85000000,157350,tt1840309,en,Divergent,"In a world divided into factions based on personality types, Tris learns that she's been classified as Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.",33.643193,/yTtx2ciqk4XdN1oKhMMDy3f5ue3.jpg,2014-03-14,288747895,139,Released,What makes you different makes you dangerous.,FALSE,6.8,6113,PG-13,", summit entertainment, red wagon entertainment",", 491, 14440","818, 2964, 4565, 9685, 14751, 156791, 161248, 162988, 180492, 211389, 223438","based on novel, future, dystopia, futuristic, youth, alternate world, individuality, dystopic future, caste system, divergent, based on young adult novel",divergent,divergent,19,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"878, 28, 12","Science Fiction, Action, Adventure",Ender's Game,FALSE,110000000,80274,tt1731141,en,Ender's Game,"Based on the classic novel by Orson Scott Card, Ender's Game is the story of the Earth's most gifted children training to defend their homeplanet in the space wars of the future.",10.913874,/zHRNhCkrFEMoudPr0uics5WZe7j.jpg,2013-10-23,125537191,114,Released,This is not a game.,FALSE,6.6,2838,PG-13,", digital domain, summit entertainment, odd lot entertainment, chartoff productions, taleswapper, k/o paper products",", 31825, 491, 3263, 3200, 31826, 7296","818, 1472, 3010, 3078, 4238, 5561, 9685, 9882, 10568, 14909, 15325, 171803, 207444, 223438","based on novel, starship, intolerance, war strategy, chosen one, child prodigy, futuristic, space, science fiction, alien invasion, universe, military school, morality tale, based on young adult novel",ender's game,ender's game,36,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"53, 9648","Thriller, Mystery",Enemy,FALSE,0,181886,tt2316411,en,Enemy,A mild-mannered college professor discovers a look-alike actor and delves into the other man's private affairs.,7.292759,/aQkyFHzNzZoMhxZ7c0IaK8BljED.jpg,2013-12-31,3396726,91,Released,You can’t escape Yourself!,FALSE,6.8,1886,R,", a24, rhombus media, roxbury pictures, mecanismo films, micro_scope",", 41077, 164, 21380, 21382, 7029","818, 1326, 1715, 1992, 3030, 6262, 9887, 41329, 160840, 161891, 230644","based on novel, infidelity, symbolism, professor, nightmare, delusion, surrealism, mental illness, dream sequence, doppelgänger, lynchian",enemy,the double,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"14, 28, 12, 10751","Fantasy, Action, Adventure, Family",Eragon,FALSE,100000000,2486,tt0449010,en,Eragon,"In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey where he realized he's the one person who can defend his home against an evil king.",7.118746,/5YOPiILsHw2Onsqyev9IYhSZ4Vy.jpg,2006-12-14,249288105,104,Released,"As darkness falls, the last dragon will choose its rider.",FALSE,4.9,1360,PG,", fox 2000 pictures, davis entertainment, dune entertainment, ingenious film partners, major studio partners, mid atlantic films, 20th century fox",", 711, 1302, 444, 289, 445, 2735, 25","818, 5457, 12554, 170362, 188178, 223438","based on novel, mythical creature, dragon, fantasy world, teenage hero, based on young adult novel",eragon,eragon,35,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"18, 10749","Drama, Romance",Evening,FALSE,0,6022,tt0765447,en,Evening,"As Constance (Natasha Richardson) and Nina (Toni Collette) gather at the deathbed of their mother, Ann (Vanessa Redgrave), they learn for the first time that their mother lived an entire other lifetime during one evening 50 years ago. In vivid flashbacks, the young Ann (Claire Daines) spends one night with a man named Harris (Patrick Wilson), who was the love of her life.",5.255034,/hkhjGVCImui50Ov1ze4oesRnZJS.jpg,2007-06-09,0,130,Released,Her greatest secret was her greatest gift.,FALSE,5.6,62,PG-13,", mbf erste filmproduktionsgesellschaft",", 1982","456, 970, 1605, 3582, 3737, 6054, 12392, 13027, 13088","mother, parent child relationship, new love, bride, dying and death, friendship, best friend, wedding, summer",evening,evening,78,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,Drama,Extremely Loud & Incredibly Close,FALSE,40000000,64685,tt0477302,en,Extremely Loud & Incredibly Close,"A year after his father's death, Oskar, a troubled young boy, discovers a mysterious key he believes was left for him by his father and embarks on a scavenger hunt to find the matching lock.",9.12146,/EEf53z7xAUZzUHA5KVHVVLwgnQ.jpg,2011-12-24,55247881,129,Released,"This is not a story about September 11th, it's a story about every day after.",FALSE,7,939,PG-13,", paramount, scott rudin productions, warner bros. pictures",", 4, 258, 174","818, 1646, 2849, 8783, 10201, 11336, 14512, 40934, 40936, 172291, 214463, post 9/11, 243572","based on novel, autism, key, scavenger hunt, death of father, young boy, new york city, tambourine, lock, grieving, gay director",extremely loud & incredibly close,extremely loud & incredibly close,10,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"18, 14, 10749","Drama, Fantasy, Romance",Fallen,FALSE,0,283378,tt1564777,en,Fallen,"Lucinda Price is sent to a reform academy under the assumption that she has killed a boy. There, she meets two mysterious boys, Cam and Daniel, to whom she feels drawn to both. But as the love triangle unfurls, it is Daniel that Luce cannot keep herself away from, and things begin to take a darker turn when she finds out his true identity.",6.972035,/ijFXUDLgXLQKLkqPfRHO58gBVS6.jpg,2016-11-10,0,91,Released,Some angels are destined to fall.,FALSE,5.9,624,PG-13,", apex entertainment, silver reel, mayhem pictures, lotus entertainment (i)",", 85100, 12075, 22881, 74208","818, 12131, 13130, 159959, 223438","based on novel, fallen angel, teenager, reform school, based on young adult novel",fallen,fallen,5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"12, 10751, 14","Adventure, Family, Fantasy",Fantastic Beasts and Where to Find Them,FALSE,180000000,259316,tt3183660,en,Fantastic Beasts and Where to Find Them,"In 1926, Newt Scamander arrives at the Magical Congress of the United States of America with a magically expanded briefcase, which houses a number of dangerous creatures and their habitats. When the creatures escape from the briefcase, it sends the American wizarding authorities after Newt, and threatens to strain even further the state of magical and non-magical relations.",45.570676,/1M91Bt3oGspda75H9eLqYZkJzgO.jpg,2016-11-16,809342332,133,Released,From J.K. Rowling's wizarding world.,FALSE,7.3,8056,PG-13,", heyday films, warner bros. pictures",", 437, 174","642, 2343, 3822, 4702, 14512, 159451, 161287, 177912, 189094, 195269","robbery, magic, teleportation, suitcase, new york city, subway station, central park, wizard, goblin, magical creature",fantastic beasts and where to find them,fantastic beasts and where to find them,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"12, 16, 35, 10751","Adventure, Animation, Comedy, Family",Fantastic Mr. Fox,FALSE,40000000,10315,tt0432283,en,Fantastic Mr. Fox,"The Fantastic Mr. Fox bored with his current life, plans a heist against the three local farmers. The farmers, tired of sharing their chickens with the sly fox, seek revenge against him and his family.",21.193514,/750pfEttsYAVmynRg2vmt1AXh4q.jpg,2009-10-23,46471023,87,Released,Dig the life fantastic!,FALSE,7.6,1620,PG,", regency enterprises, indian paintbrush, american empirical pictures, 20th century fox",", 508, 9350, 23449, 25","2527, 3352, 4402, 9748, 11330, 11331, 11332, 11477","fox, tree, peasant, revenge, cider, tale, farm life, talking animal",fantastic mr. fox,fantastic mr. fox,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"18, 10749","Drama, Romance",Far from the Madding Crowd,FALSE,0,250734,tt2935476,en,Far from the Madding Crowd,"Based on the literary classic by Thomas Hardy, Far from the Madding Crowd is the story of independent, beautiful and headstrong Bathsheba Everdene, who attracts three very different suitors: Gabriel Oak, a sheep farmer, captivated by her fetching willfulness; Frank Troy, a handsome and reckless Sergeant; and William Boldwood, a prosperous and mature bachelor. This timeless story of Bathsheba's choices and passions explores the nature of relationships and love – as well as the human ability to overcome hardships through resilience and perseverance.",7.210579,/6v1DEaO2TZzrqcaGohUf1K7BXkU.jpg,2015-04-23,30229977,119,Released,NA,FALSE,6.9,443,PG-13,", fox searchlight pictures, bbc films, dna films",", 43, 288, 284","11004, 17997","rural setting, housekeeper",far from the madding crowd,far from the madding crowd,21,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"35, 18, 10749","Comedy, Drama, Romance",Fever Pitch,FALSE,10000000,11431,tt0332047,en,Fever Pitch,"When relaxed and charming Ben Wrightman meets workaholic Lindsey Meeks she finds him sweet and charming, they hit it off and when it is winter Ben can spend every waking hour with Lindsey, but when summer comes around the corner Lindsey discovers Ben's obsession with the Boston Red Sox. She thinks it is perfect until everything goes downhill for them.",8.57755,/kuugk93pYPqOsEW2R5C7n8gy2QK.jpg,2005-04-06,0,103,Released,A Comedy About The Game of Love.,FALSE,5.8,241,PG-13,", elc productions ltd., alan greenspan productions, mars media beteiligungs, fox 2000 pictures, flower films (ii), wildgaze films",", 73953, 6401, 6402, 711, 19813, 1508","1480, 3419, 5625, 6075, 10508, 155725, 155726","baseball, fanatic, relationship problems, sport, teacher, red sox, fenway park",fever pitch,fever pitch,95,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"18, 10749","Drama, Romance",Fifty Shades Darker,FALSE,55000000,341174,tt4465564,en,Fifty Shades Darker,"When a wounded Christian Grey tries to entice a cautious Ana Steele back into his life, she demands a new arrangement before she will give him another chance. As the two begin to build trust and find stability, shadowy figures from Christian’s past start to circle the couple, determined to destroy their hopes for a future together.",29.634824,/aybgjbFbn6yUbsgUMnUbwc2jcWd.jpg,2017-02-08,378827494,118,Released,Every fairy tale has a dark side.,FALSE,6,3276,R,", universal pictures, perfect world pictures",", 33, 10338","572, 818, 1422, 5091, 9663, 158713, 186846, 190370, 227758","sex, based on novel, boat, kiss, sequel, bdsm, adaptation, erotic movie, oral sex",fifty shades darker,fifty shades darker,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"18, 10749, 53","Drama, Romance, Thriller",Fifty Shades of Grey,FALSE,40000000,216015,tt2322441,en,Fifty Shades of Grey,"When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure.",52.651296,/jV8wnk3Jgz6f7degmT3lHNGI2tK.jpg,2015-02-11,571006128,125,Released,Are you curious?,FALSE,5.3,4715,R,", trigger street productions, focus features, michael de luca productions",", 11801, 10146, 11370","279, 818, 9785, 9888, 12547, 34143, 158713, 187056","usa, based on novel, perversion, spanking, billionaire, rich, bdsm, woman director",fifty shades of grey,fifty shades of grey,9,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"80, 18, 35","Crime, Drama, Comedy",Filth,FALSE,5000000,85889,tt1450321,en,Filth,A bigoted junkie cop suffering from bipolar disorder and drug addiction manipulates and hallucinates his way through the festive season in a bid to secure promotion and win back his wife and daughter.,8.551071,/dchLaUOkQOPZQHnus5fnZgZKDuP.jpg,2013-09-23,9114264,97,Released,"It's a filthy job getting to the top, but someone's got to do it.",FALSE,6.8,761,R,", egoli tossell film ag, steel mill pictures, entre chien et loup, filmgate films, logie pictures, altitude film entertainment, film house germany, maven pictures",", 2254, 15282, 15472, 18230, 19637, 19638, 19639, 19640","388, 8015, 14744, 189447, 220448","scotland, cop, english, bipolar, bipolar disorder",filth,filth,24,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9648, 53, 18","Mystery, Thriller, Drama",Gone Girl,FALSE,61000000,210577,tt2267998,en,Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",49.963186,/gdiLTof3rbPDAmPaCf4g6op46bj.jpg,2014-10-01,369330363,145,Released,You don't know what you've got 'til it's...,FALSE,7.9,7665,R,", regency enterprises, new regency pictures, pacific standard, tsg entertainment, artemple - hollywood, 20th century fox",", 508, 10104, 15829, 22213, 60682, 25","818, 4183, 5340, 5809, 10941, 11513, 14536, 156091, 169962, 191199, 199073, 207431, 222665","based on novel, wife, investigation, marriage crisis, disappearance, cheating husband, crime, missing person, search party, criminal lawyer, wife murder, murder suspect, missing wife",gone girl,gone girl,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
